word,PMI_Pos,PMI_Neg,PMI_Diff,freq_total,freq_pos,freq_neg
agibela,1.2213950517558412,0.0,1.2213950517558412,1,1,0
abambelela,1.2213950517558412,0.0,1.2213950517558412,1,1,0
emsileni,1.2213950517558412,0.0,1.2213950517558412,1,1,0
ebheke,1.2213950517558412,0.0,1.2213950517558412,1,1,0
ezithinta,1.2213950517558412,0.0,1.2213950517558412,1,1,0
yomphakathi,1.2213950517558412,0.0,1.2213950517558412,1,1,0
nezici,1.2213950517558412,0.0,1.2213950517558412,1,1,0
zezilwane,1.2213950517558412,0.0,1.2213950517558412,1,1,0
ngokubuza,1.2213950517558412,0.0,1.2213950517558412,1,1,0
ngiyanazi,1.2213950517558412,0.0,1.2213950517558412,1,1,0
nina,1.2213950517558412,0.0,1.2213950517558412,1,1,0
nithanda,1.2213950517558412,0.0,1.2213950517558412,1,1,0
lwezitolo,1.2213950517558412,0.0,1.2213950517558412,1,1,0
lugcine,1.2213950517558412,0.0,1.2213950517558412,1,1,0
selwandile,1.2213950517558412,0.0,1.2213950517558412,1,1,0
kuholela,1.2213950517558412,0.0,1.2213950517558412,1,1,0
-,1.2213950517558412,0.0,1.2213950517558412,1,1,0
yesibindi,1.2213950517558412,0.0,1.2213950517558412,1,1,0
